database,num_records,duration_seconds,throughput_records_per_second
InfluxDB,1,0.012185300040679673,847.0995729971602
TimescaleDB,1,0.01323230005800724,136.0272331941375
InfluxDB,10,0.0012343333413203557,8111.89446435329
TimescaleDB,10,0.006646833343741794,1541.7228007390495
InfluxDB,100,0.006573699996806681,15294.697173833587
TimescaleDB,100,0.009471233313282331,10688.638683657186
InfluxDB,10000,0.5558452666737139,18014.100320168796
TimescaleDB,10000,0.20070249998631576,49956.06317737391
InfluxDB,50000,2.817905233319228,17744.33820739179
TimescaleDB,50000,1.067367000039667,46887.712374749935
InfluxDB,100000,5.642363800046344,17723.633856106735
TimescaleDB,100000,2.1348820332981027,46868.96923083727
